Station,Year,Month,Day,Rainfall,Mean_temp,Max_temp,Min_temp
Admiralty,2012,11,13,9.6,26.3,31.2,24.3
Admiralty,2012,11,14,25,26.5,32.8,23.2
Admiralty,2012,11,15,4.8,27.7,31.4,25.2
Admiralty,2012,11,16,3.6,28.1,33.8,24.9
Admiralty,2012,11,17,47.2,26.7,32.1,23.6
Admiralty,2012,11,18,5,27.2,32.7,24
Admiralty,2012,11,19,16,26.4,29.4,24.2
Admiralty,2012,11,20,0,28,33,24.9
Admiralty,2012,11,21,30,27.2,33.9,24.2
Admiralty,2012,11,22,0.2,26.9,29.2,25
Admiralty,2012,11,23,38,26.9,33.5,23.6
Admiralty,2012,11,24,0,27.1,30.7,23.4
Admiralty,2012,11,25,1.8,26.7,30.9,24.7
Admiralty,2012,11,26,7.6,27,32.5,24.8
Admiralty,2012,11,27,4.2,26.7,32.5,24.3
Admiralty,2012,11,28,29.6,27.3,34.5,24.4
Admiralty,2012,11,29,21.8,26.7,32,24.4
Admiralty,2012,11,30,6,27.4,32.7,25.1
Admiralty,2012,12,1,1.8,26.3,30.2,24.9
Admiralty,2012,12,2,1.6,27.1,30.4,24.3
Admiralty,2012,12,3,71.6,25.6,29.8,23.4
Admiralty,2012,12,4,11.8,26,31.6,23.7
Admiralty,2012,12,5,84,26.2,31.1,23.9
Admiralty,2012,12,6,1.2,26.6,32.2,24.6
Admiralty,2012,12,7,0,27.9,31.7,25.1
Admiralty,2012,12,8,0,27.6,29.8,25.7
Admiralty,2012,12,9,0.4,27.1,30.3,25.3
Admiralty,2012,12,10,0.6,26.6,31.4,24.6
Admiralty,2012,12,11,21.4,26.2,29.9,22.6
Admiralty,2012,12,12,3,26.1,31.2,23.8
Admiralty,2012,12,13,20,25.4,30.5,23.3
Admiralty,2012,12,14,0.2,26.8,30.8,24.6
Admiralty,2012,12,15,1.6,26.9,30.5,25
Admiralty,2012,12,16,45.2,25.5,30.1,23.5
Admiralty,2012,12,17,27.2,25.7,29.7,23.8
Admiralty,2012,12,18,12.6,25.2,29,23.7
Admiralty,2012,12,19,7.4,25.7,31.7,23.5
Admiralty,2012,12,20,0.2,27.2,31.1,23.6
Admiralty,2012,12,21,1.8,27.2,32,24.9
Admiralty,2012,12,22,10,26.3,32.4,23.8
Admiralty,2012,12,23,0.2,26.6,31.2,24.5
Admiralty,2012,12,24,2.8,26.2,29.5,24.7
Admiralty,2012,12,25,0.4,24.7,27,23.7
Admiralty,2012,12,26,0,26,29.5,23.5
Admiralty,2012,12,27,0,26.6,29.7,25
Admiralty,2012,12,28,28.8,26.7,29.8,24.7
Admiralty,2012,12,29,11.6,26.5,30,24.6
Admiralty,2012,12,30,1.6,27.1,29.9,25.4
Admiralty,2012,12,31,86.8,25.5,29.3,22.7
Admiralty,2013,1,1,0.2,27,32,23.6
Admiralty,2013,1,2,27.6,26.3,30.8,23.2
Admiralty,2013,1,3,1.6,26.6,31.4,24.8
Admiralty,2013,1,4,0,27,30.9,24.5
Admiralty,2013,1,5,0,27.1,30.2,25
Admiralty,2013,1,6,0,28.1,33,24.5
Admiralty,2013,1,7,0,29.1,33.4,25.4
Admiralty,2013,1,8,33.4,26.6,31.7,21.9
Admiralty,2013,1,9,14,26.4,31.5,22.5
Admiralty,2013,1,10,0,26.8,30.5,24.4
Admiralty,2013,1,11,0,27.4,30.8,25.7
Admiralty,2013,1,12,2.6,27.3,32.5,25.3
Admiralty,2013,1,13,8.4,26.4,30.9,24.3
Admiralty,2013,1,14,3.8,26.9,31,24.8
Admiralty,2013,1,15,5,26.8,30.4,24.8
Admiralty,2013,1,16,1.8,26.7,29.4,25.3
Admiralty,2013,1,17,0,27,30.7,24.6
Admiralty,2013,1,18,62.6,26.5,32.4,23.7
Admiralty,2013,1,19,30.4,23.7,24.5,22.9
Admiralty,2013,1,20,8,24.5,26.1,23.7
Admiralty,2013,1,21,1.4,26.5,30.3,24
Admiralty,2013,1,22,1,25.6,27.7,23.8
Admiralty,2013,1,23,0,26.9,30.5,24.5
Admiralty,2013,1,24,0,26.8,30.1,25.1
Admiralty,2013,1,25,0,26.8,30.6,24.4
Admiralty,2013,1,26,0,27,30.9,24.5
Admiralty,2013,1,27,0,26.8,30.8,24.4
Admiralty,2013,1,28,0.2,26.8,30.5,24.7
Admiralty,2013,1,29,0,26.9,30.5,24.4
Admiralty,2013,1,30,0,27.1,31,24.2
Admiralty,2013,1,31,0,27.3,31.2,24.7
Admiralty,2013,2,1,0,27.4,30.6,25.2
Admiralty,2013,2,2,0,27.8,32.1,24.8
Admiralty,2013,2,3,39.6,25.6,27.4,24.4
Admiralty,2013,2,4,1,26.4,28.9,24.2
Admiralty,2013,2,5,5.6,25.8,29,23.4
Admiralty,2013,2,6,6.2,25.5,29.2,24
Admiralty,2013,2,7,4.4,26.3,30.6,23.9
Admiralty,2013,2,8,33.6,25.5,29.5,24
Admiralty,2013,2,9,28.6,26,32.5,23.8
Admiralty,2013,2,10,21.6,24.5,25.4,23.3
Admiralty,2013,2,11,0.8,24.8,28.4,23.5
Admiralty,2013,2,12,28.2,25.5,29,23.7
Admiralty,2013,2,13,0.8,26.5,30.2,24.5
Admiralty,2013,2,14,29.8,24.8,27.5,23.4
Admiralty,2013,2,15,9,25.4,29.8,23.7
Admiralty,2013,2,16,2,25.7,30.4,24.4
Admiralty,2013,2,17,1,24.7,25.7,23.9
Admiralty,2013,2,18,15,26,31.1,24.3
Admiralty,2013,2,19,0.4,25.8,27.8,24.7
Admiralty,2013,2,20,0.6,27,32,24.5
Admiralty,2013,2,21,0.2,26.8,29.6,24.9
Admiralty,2013,2,22,0,27.3,32.1,24.5
Admiralty,2013,2,23,0,27.5,31.6,24.1
Admiralty,2013,2,24,0,27.3,30,24.8
Admiralty,2013,2,25,65.8,26.9,32,23.9
Admiralty,2013,2,26,19.6,26.8,33,24.6
Admiralty,2013,2,27,5.2,27.2,31.9,24.5
Admiralty,2013,2,28,0,27.6,33.9,25.1
Admiralty,2013,3,1,0,28.1,34.1,25.3
Admiralty,2013,3,2,21.2,27.8,32.3,24.7
Admiralty,2013,3,3,0,27.6,31.1,25.2
Admiralty,2013,3,4,0,27.6,31.4,24.9
Admiralty,2013,3,5,0.2,27.3,30.9,25
Admiralty,2013,3,6,0.2,27.2,30.5,25.1
Admiralty,2013,3,7,0,27.6,32.5,24.9
Admiralty,2013,3,8,0,27.8,31.3,25.5
Admiralty,2013,3,9,3,26.9,31.3,24.7
Admiralty,2013,3,10,11.6,27.1,33.4,24.5
Admiralty,2013,3,11,0,27.5,32.9,25.1
Admiralty,2013,3,12,0,27.9,33.8,24.7
Admiralty,2013,3,13,19,27.4,34.4,23.1
Admiralty,2013,3,14,0,27.5,33.1,25.5
Admiralty,2013,3,15,0,28.3,32.8,24.9
Admiralty,2013,3,16,0,28.3,32.4,25.5
Admiralty,2013,3,17,16,26.9,32,25.2
Admiralty,2013,3,18,0,28.3,34.3,25.2
Admiralty,2013,3,19,0,28.4,33.5,25.7
Admiralty,2013,3,20,0,28.9,33.8,26
Admiralty,2013,3,21,0.2,28.7,33,27.4
Admiralty,2013,3,22,18.6,27.9,32.9,24.5
Admiralty,2013,3,23,5.8,28,33,25.6
Admiralty,2013,3,24,50,27.9,36.2,22.9
Admiralty,2013,3,25,0.4,27.8,33.7,24.7
Admiralty,2013,3,26,10.4,28.1,34,24.9
Admiralty,2013,3,27,0,29,32.2,26.3
Admiralty,2013,3,28,16.4,28.1,32.9,25.4
Admiralty,2013,3,29,36.2,27.7,34.6,24
Admiralty,2013,3,30,49.2,28.1,34.9,24.1
Admiralty,2013,3,31,10.4,28.4,34.7,25.3
Admiralty,2013,4,1,21,27.9,34.5,23.6
Admiralty,2013,4,2,10.6,28.5,33.5,25.4
Admiralty,2013,4,3,10.8,28.1,34.1,24.4
Admiralty,2013,4,4,4.4,27.5,32.1,25.2
Admiralty,2013,4,5,0,28.8,32.7,25.7
Admiralty,2013,4,6,1,27.9,30.1,25.9
Admiralty,2013,4,7,0,28.1,30.1,26
Admiralty,2013,4,8,0.8,28.2,32.5,25.7
Admiralty,2013,4,9,0,28,32.3,25.9
Admiralty,2013,4,10,0,28.6,33.3,26.2
Admiralty,2013,4,11,0,27.3,30.3,24.6
Admiralty,2013,4,12,0,29,35.1,25.6
Admiralty,2013,4,13,3.4,29.5,35,26.1
Admiralty,2013,4,14,0.8,26.2,29.2,22.6
Admiralty,2013,4,15,0,29.3,35.1,25.4
Admiralty,2013,4,16,5,29.9,35.2,26.9
Admiralty,2013,4,17,0.4,28.2,31,25
Admiralty,2013,4,18,1.2,30,33.6,27.1
Admiralty,2013,4,19,0,27.2,30.6,25
Admiralty,2013,4,20,0,29.6,34.3,26.4
Admiralty,2013,4,21,17.8,26.2,33.4,23.7
Admiralty,2013,4,22,11.4,27.8,35.1,23.6
Admiralty,2013,4,23,0.2,27.5,32.3,25.1
Admiralty,2013,4,24,16,27.6,34.2,24.2
Admiralty,2013,4,25,20.8,27.8,31.8,25.1
Admiralty,2013,4,26,0.8,27.3,31.5,23.6
Admiralty,2013,4,27,27.6,27.6,33.8,23.4
Admiralty,2013,4,28,40.4,25.9,27.3,23.5
Admiralty,2013,4,29,16.2,27.7,32.3,24.9
Admiralty,2013,4,30,0,28.9,33.9,25.5
Admiralty,2013,5,1,0.8,28.1,30.9,26.2
Admiralty,2013,5,2,7.2,27.9,32,25
Admiralty,2013,5,3,0.4,27.9,30.8,25.9
Admiralty,2013,5,4,0.2,28.8,32.6,25.9
Admiralty,2013,5,5,8.4,27.4,30.6,25.5
Admiralty,2013,5,6,5.4,27.6,33.3,25.4
Admiralty,2013,5,7,68.6,26.8,32.7,22.8
Admiralty,2013,5,8,1,27.3,31.9,25.1
Admiralty,2013,5,9,0.4,27.9,33.5,24.9
Admiralty,2013,5,10,7,27.9,33.3,25
Admiralty,2013,5,11,0,28.2,32,25.8
Admiralty,2013,5,12,0,30.2,34.9,27.3
Admiralty,2013,5,13,0,30.5,35.2,27.9
Admiralty,2013,5,14,0.6,28.7,32.7,24.7
Admiralty,2013,5,15,13.4,28.8,34,25.3
Admiralty,2013,5,16,0.4,27.3,32.3,23.1
Admiralty,2013,5,17,0,29.1,33.8,26
